"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","Ortsteil","id"
"Albert-Schweitzer-Schule","","","Sonthofen","Bayern","Programm","","Be smart - don't Start","","9"
"Gymnasium Ritterhude","","","Ritterhude","Niedersachsen","Programm","","Be smart - don't Start","","5"
"Maria-Ward-Realschule","","","Altötting","Bayern","Programm","","Be smart - don't Start","","10"
"Hermann-Gmeiner-Schule","","","Daaden","Rheinland Pfalz","Programm","","Be smart - don't Start","","0"
"Gemeinschaftsschule Niebüll","","","Niebüll","Schleswig Holstein","Programm","","Be smart - don't Start","","6"
"Graf-Anton-Günther-Schule","","","Oldenburg","Niedersachsen","Programm","","Be smart - don't Start","","75"
"Corrie ten Boom-Schule","","","Berlin","Berlin","Programm","","Be smart - don't Start","","1305"
"Georg-Keimel-Mittelschule","","","Elsenfeld","Bayern","Programm","","Be smart - don't Start","","9"
"Sophie-La-Roche-Realschule","","","Kaufbeuren","Bayern","Programm","","Be smart - don't Start","","17"
"Haranni-Gymnasium","","","Herne","Nordrhein Westphalen","Programm","","Be smart - don't Start","","47"
"Grund- und Oberschule Nordkehdingen","","","Freiburg","Niedersachsen","Programm","","Be smart - don't Start","","1"
"Gesamtschule Much","","","Much","Nordrhein Westphalen","Programm","","Be smart - don't Start","","5"
"Raichberg-Gymnasium","","","Ebersbach an der Fils","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Kopernikus-Gymnasium","","","Aalen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Oberschule ""Ulrich von Hutten""","","","Frankfurt (Oder)","Brandenburg","Programm","","Be smart - don't Start","","19"
"Carl-Bantzer-Schule","","","Schwalmstadt","Hessen","Programm","","Be smart - don't Start","","0"
"Realschule Langendamm","","","Nienburg","Niedersachsen","Programm","","Be smart - don't Start","","22"
"Gymnasium Ergolding","","","Ergolding","Bayern","Programm","","Be smart - don't Start","","4"
"Realschule Bleckede","","","Bleckede","Niedersachsen","Programm","","Be smart - don't Start","","6"
"Käthe-Kollwitz-Schule","","","Kiel","Schleswig Holstein","Programm","","Be smart - don't Start","","68"
"Johannes-Brahms-Gymnasium","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","","422"
"Goethe-Sekundarschule","","","Ilsenburg (Harz)","Sachsen Anhalt","Programm","","Be smart - don't Start","","4"
"Förderschule (LB) Pestalozzi","","","Schönebeck (Elbe)","Sachsen Anhalt","Programm","","Be smart - don't Start","","15"
"Gymnasium Hohenbaden","","","Baden-Baden","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Gymnasium Damme","","","Damme","Niedersachsen","Programm","","Be smart - don't Start","","11"
"Dr.-Otto-Rindt-Oberschule","","","Senftenberg","Brandenburg","Programm","","Be smart - don't Start","","18"
"Christian-Gymnasium","","","Hermannsburg","Niedersachsen","Programm","","Be smart - don't Start","","4"
"Ottmar-Mergenthaler-Realschule","","","Vaihingen an der Enz","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Städtisches Louise-Schroeder Gymnasium","","","München","Bayern","Programm","","Be smart - don't Start","","370"
"Stadtgymnasium Detmold","","","Detmold","Nordrhein Westphalen","Programm","","Be smart - don't Start","","37"
"Orlatal-Gymnasium","","","Neustadt a.d.Orla","Thüringen","Programm","","Be smart - don't Start","","4"
"Freiherr-vom-Stein-Gymnasium","","","Leverkusen","Nordrhein Westphalen","Programm","","Be smart - don't Start","","46"
"Realschule Bissingen","","","Bietigheim-Bissingen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Moderne Schule Hamburg","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","","422"
"Schulzentrum Petermoor","","","Bassum","Niedersachsen","Programm","","Be smart - don't Start","","7"
"Städt. Emsland-Gymnasium","","","Rheine","Nordrhein Westphalen","Programm","","Be smart - don't Start","","34"
"Wilhelm-Raabe-Schule","","","Hameln","Niedersachsen","Programm","","Be smart - don't Start","","30"
"Förderzentrum West","","","Schwalmtal","Nordrhein Westphalen","Programm","","Be smart - don't Start","","6"
"Gutenberg-Gymnasium","","","Mainz","Rheinland Pfalz","Programm","","Be smart - don't Start","","3"
"Priv. Gymnasium Marienstatt","","","Streithausen","Rheinland Pfalz","Programm","","Be smart - don't Start","","0"
"Gymnasium im Schloß","","","Wolfenbüttel","Niedersachsen","Programm","","Be smart - don't Start","","25"
"Friedrichgymnasium","","","Altenburg","Thüringen","Programm","","Be smart - don't Start","","25"
"Pestalozzi-Mittelschule","","","Oberasbach","Bayern","Programm","","Be smart - don't Start","","5"
"Staatl. Realschule Bruckmühl","","","Bruckmühl","Bayern","Programm","","Be smart - don't Start","","4"
"Hermann-Ehlers-Schule","","","Wiesbaden","Hessen","Programm","","Be smart - don't Start","","3"
"Theodor-Fontane-Gymnasium","","","Strausberg","Brandenburg","Programm","","Be smart - don't Start","","14"
"Evangelisches Ganztagsgymnasium","","","Bad Marienberg (Westerwald)","Rheinland Pfalz","Programm","","Be smart - don't Start","","0"
"Warndt-Gymnasium","","","Völklingen","Saarland","Programm","","Be smart - don't Start","","0"
"Geschwister-Scholl-Gymnasium","","","Freiberg","Sachsen","Programm","","Be smart - don't Start","","28"
"Holstenschule","","","Neumünster","Schleswig Holstein","Programm","","Be smart - don't Start","","28"
"Rhön-Ulstertal-Schule","","","Geisa","Thüringen","Programm","","Be smart - don't Start","","2"
"Förderschule (LB)","","","Aschersleben","Sachsen Anhalt","Programm","","Be smart - don't Start","","14"
"Gemeinschaftsschule Möckern","","","Möckern","Sachsen Anhalt","Programm","","Be smart - don't Start","","5"
"Städtisches Luisengymnasium","","","München","Bayern","Programm","","Be smart - don't Start","","370"
"Städt. Gesamtschule Bockmühle","","","Essen","Nordrhein Westphalen","Programm","","Be smart - don't Start","","186"
"Oberschule Weißig","","","Dresden","Sachsen","Programm","","Be smart - don't Start","","297"
"Verbundschule Mitte-Nord","","","Bergisch Gladbach","Nordrhein Westphalen","Programm","","Be smart - don't Start","","45"
"Städt. Freiherr-vom-Stein-Gymnasium","","","Oberhausen","Nordrhein Westphalen","Programm","","Be smart - don't Start","","55"
"Integrierte Gesamtschule Zetel","","","Zetel","Niedersachsen","Programm","","Be smart - don't Start","","4"
"Janusz-Korczak-Schule","","","Überlingen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Realschule Horkesgath","","","Krefeld","Nordrhein Westphalen","Programm","","Be smart - don't Start","","71"
"Städt. Carl-Benz-Realschule","","","Düsseldorf","Nordrhein Westphalen","Programm","","Be smart - don't Start","","179"
"Peter-Härtling-Schule","","","Springe","Niedersachsen","Programm","","Be smart - don't Start","","14"
"Peter-Thumb-Gemeinschaftsschule","","","Hilzingen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Emanuel-Lasker-Schule","","","Berlin","Berlin","Programm","","Be smart - don't Start","","1305"
"Gymnasium Haren","","","Haren","Niedersachsen","Programm","","Be smart - don't Start","","11"
"Gymnasium Johanneum","","","Homburg","Saarland","Programm","","Be smart - don't Start","","0"
"Gymnasium Rissen","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","","422"
"Reinhard-Lakomy-Grundschule","","","Cottbus/OT Groß Gaglow","Brandenburg","Programm","","Be smart - don't Start","","1"
"Europaschule Herzogenrath","","","Herzogenrath","Nordrhein Westphalen","Programm","","Be smart - don't Start","","16"
"Wümmeschule","","","Ottersberg","Niedersachsen","Programm","","Be smart - don't Start","","5"
"Sibylla-Merian-Gymnasium","","","Meinersen","Niedersachsen","Programm","","Be smart - don't Start","","4"
"ReBBZ Altona-West","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","","422"
"Otto-Hahn-Gymnasium","","","Dinslaken","Nordrhein Westphalen","Programm","","Be smart - don't Start","","19"
"Schule am Leithenhaus","","","Bochum","Nordrhein Westphalen","Programm","","Be smart - don't Start","","99"
"Pestalozzi-Schule","","","Göppingen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Mittelpunktschule Wohratal","","","Wohratal","Hessen","Programm","","Be smart - don't Start","","0"
"Johannes-Löh-Gesamtschule","","","Burscheid","Nordrhein Westphalen","Programm","","Be smart - don't Start","","6"
"Gesamtschule Kaiserplatz","","","Krefeld","Nordrhein Westphalen","Programm","","Be smart - don't Start","","71"
"Gymnasium Lütjenburg","","","Lütjenburg","Schleswig Holstein","Programm","","Be smart - don't Start","","3"
"David-Schuster-Realschule","","","Würzburg","Bayern","Programm","","Be smart - don't Start","","57"
"Montfort-Gymnasium","","","Tettnang","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Realschule plus Friedrich Spee","","","Neumagen-Dhron","Rheinland Pfalz","Programm","","Be smart - don't Start","","0"
"Heinrich-Heine-Gymnasium","","","Bitterfeld-Wolfen","Sachsen Anhalt","Programm","","Be smart - don't Start","","15"
"Gesamtschule Greven","","","Greven","Nordrhein Westphalen","Programm","","Be smart - don't Start","Prenzlauer Berg","30"
"Gymnasium Munster","","","Munster","Niedersachsen","Programm","","Be smart - don't Start","Friedrichshain","5"
"Evangelisches Gymnasium Erzgebirge","","","Annaberg-Buchholz","Sachsen","Programm","","Be smart - don't Start","Mariendorf","36"
"Markgraf-Georg-Friedrich-Realschule","","","Heilsbronn","Bayern","Programm","","Be smart - don't Start","Wilmersdorf","4"
"Walddörfer-Gymnasium","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","Neukölln","422"
"Clara-Fey-Gymnasium","","","Schleiden","Nordrhein Westphalen","Programm","","Be smart - don't Start","Friedrichshagen","6"
"Erich Kästner-Schule","","","Idstein","Hessen","Programm","","Be smart - don't Start","Kreuzberg","0"
"Evangelisches Gymnasium","","","Meinerzhagen","Nordrhein Westphalen","Programm","","Be smart - don't Start","Marienfelde","8"
"Dietrich-Bonhoeffer-Schule","","","Bargteheide","Schleswig Holstein","Programm","","Be smart - don't Start","Falkenhagener Feld","8"
"Gymnasium Dresden-Klotzsche","","","Dresden","Sachsen","Programm","","Be smart - don't Start","Charlottenburg","297"
"Selma-Lagerlöf-Sekundarschule","","","Selm","Nordrhein Westphalen","Programm","","Be smart - don't Start","Friedrichsfelde","8"
"Von-Galen-Schule","","","Eichenzell","Hessen","Programm","","Be smart - don't Start","Wilmersdorf","0"
"Geschwister-Scholl-Schule","","","Senden","Nordrhein Westphalen","Programm","","Be smart - don't Start","Lichtenberg","21"
"Johannes-Gigas-Schule","","","Lügde","Nordrhein Westphalen","Programm","","Be smart - don't Start","Zehlendorf","4"
"Estetalschule","","","Hollenstedt","Niedersachsen","Programm","","Be smart - don't Start","Köpenick","2"
"Mittelschule Gerolzhofen","","","Gerolzhofen","Bayern","Programm","","Be smart - don't Start","Westend","3"
"Märkisches Gymnasium","","","Iserlohn","Nordrhein Westphalen","Programm","","Be smart - don't Start","Marzahn","31"
"Schule an der Schaperdrift","","","Lüneburg","Niedersachsen","Programm","","Be smart - don't Start","Moabit","36"
"Eckener-Gymnasium","","","Berlin","Berlin","Programm","","Be smart - don't Start","Reinickendorf","1305"
"Hauptschule am Bagno","","","Steinfurt","Nordrhein Westphalen","Programm","","Be smart - don't Start","Friedrichshain","16"
"Schulcampus Evershagen","","","Rostock","Mecklenburg-Vorpommern","Programm","","Be smart - don't Start","Lichterfelde","45"
"Johannes-Heidenhain-Gymnasium","","","Traunreut","Bayern","Programm","","Be smart - don't Start","Marzahn","7"
"Robert-Jungk-Schule","","","Berlin","Berlin","Programm","","Be smart - don't Start","Reinickendorf","1305"
"Integrierte Gesamtschule Pewsum","","","Krummhörn","Niedersachsen","Programm","","Be smart - don't Start","Gropiusstadt","6"
"Horneckschule","","","Gundelsheim","Baden-Württemberg","Programm","","Be smart - don't Start","Lichtenrade","1"
"Geschwister-Scholl-Realschule","","","Nürnberg","Bayern","Programm","","Be smart - don't Start","Lankwitz","138"
"St.-Ursula-Gymnasium","","","Würzburg","Bayern","Programm","","Be smart - don't Start","Grunewald","57"
"Ruth-Weiss-Realschule","","","Aschaffenburg","Bayern","Programm","","Be smart - don't Start","Kladow","31"
"Schule Otto Buchwitz","","","Eisenhüttenstadt","Brandenburg","Programm","","Be smart - don't Start","Marzahn","9"
"Gesamtschule Hennef Meiersheide","","","Hennef (Sieg)","Nordrhein Westphalen","Programm","","Be smart - don't Start","Dahlem","21"
"Dr.-Theo-Schöller-Schule","","","Nürnberg","Bayern","Programm","","Be smart - don't Start","Biesdorf","138"
"Oberschule Schönfeld","","","Schönfeld","Sachsen","Programm","","Be smart - don't Start","Kreuzberg","5"
"Georg- Chr.-Lichtenberg-Schule","","","Göttingen","Niedersachsen","Programm","","Be smart - don't Start","Wittenau","50"
"Städt. Gesamtschule Lippstadt","","","Lippstadt","Nordrhein Westphalen","Programm","","Be smart - don't Start","Mitte","29"
"Lessingschule","","","Frankfurt (Oder)","Brandenburg","Programm","","Be smart - don't Start","Märkisches Viertel","19"
"Gymnasium Schönau","","","Schönau","Baden-Württemberg","Programm","","Be smart - don't Start","Alt-Hohenschönhausen","12"
"August-Hermann-Francke-Gesamtschule","","","Detmold","Nordrhein Westphalen","Programm","","Be smart - don't Start","Reinickendorf","37"
"Gesamtschule Hüllhorst","","","Hüllhorst","Nordrhein Westphalen","Programm","","Be smart - don't Start","Frohnau","4"
"Mittelschule Feucht","","","Feucht","Bayern","Programm","","Be smart - don't Start","Britz","12"
"Friedrich-Spee-Gymnasium","","","Geldern","Nordrhein Westphalen","Programm","","Be smart - don't Start","Reinickendorf","17"
"Städtische Helen-Keller-Realschule","","","München","Bayern","Programm","","Be smart - don't Start","Spandau","370"
"Katholische Bonifatiusschule","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","Friedrichshain","422"
"Max-Tau-Schule","","","Kiel","Schleswig Holstein","Programm","","Be smart - don't Start","Charlottenburg","68"
"Hauptschule Schwalbenstraße","","","Gelsenkirchen","Nordrhein Westphalen","Programm","","Be smart - don't Start","Friedenau","83"
"Europaschule Langerwehe","","","Langerwehe","Nordrhein Westphalen","Programm","","Be smart - don't Start","Friedrichsfelde","3"
"Immanuel-Kant-Gymnasium","","","Dortmund","Nordrhein Westphalen","Programm","","Be smart - don't Start","Biesdorf","179"
"Kath. Schule Sankt Marien","","","Berlin","Berlin","Programm","","Be smart - don't Start","Wannsee","1305"
"Schule am Lindhoop","","","Kirchlinteln","Niedersachsen","Programm","","Be smart - don't Start","Zehlendorf","3"
"St. Elisabeth-Realschule","","","Friedrichshafen","Baden-Württemberg","Programm","","Be smart - don't Start","Hakenfelde","0"
"Staatliche Regelschule Lichtetal","","","Lichte","Thüringen","Programm","","Be smart - don't Start","Kreuzberg","40"
"Mittelschule Gangkofen","","","Gangkofen","Bayern","Programm","","Be smart - don't Start","Kreuzberg","2"
"Härtsfeld-Schule","","","Neresheim","Baden-Württemberg","Programm","","Be smart - don't Start","Charlottenburg","0"
"Gymnasium Maria Stern","","","Augsburg","Bayern","Programm","","Be smart - don't Start","Friedrichshain","83"
"Ev. Paul-Distelbarth-Gymnasium","","","Obersulm","Baden-Württemberg","Programm","","Be smart - don't Start","Steglitz","0"
"Maria-Sibylla-Merian-Realschule","","","Borken","Nordrhein Westphalen","Programm","","Be smart - don't Start","Schöneberg","24"
"Theodor-Heuss-Schule","","","Pinneberg","Schleswig Holstein","Programm","","Be smart - don't Start","Johannisthal","12"
"Integrierte Gesamtschule Oyten","","","Oyten","Niedersachsen","Programm","","Be smart - don't Start","","5"
"Montfort-Realschule","","","Zell im Wiesental","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Staatliche Regelschule Münchenbernsdorf","","","Münchenbernsdorf","Thüringen","Programm","","Be smart - don't Start","","2"
"Emil-von-Behring-Gymnasium","","","Großhansdorf","Schleswig Holstein","Programm","","Be smart - don't Start","","4"
"Julius-Leber-Schule","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","","422"
"Weinberg-Gymnasium","","","Kleinmachnow","Brandenburg","Programm","","Be smart - don't Start","","10"
"Evangelische Oberschule","","","Schneeberg","Sachsen","Programm","","Be smart - don't Start","","9"
"Konrad-Duden-Werkrealschule","","","Mannheim","Baden-Württemberg","Programm","","Be smart - don't Start","","1"
"Städtisches Cecilien-Gymnasium","","","Düsseldorf","Nordrhein Westphalen","Programm","","Be smart - don't Start","","179"
"Carl-von-Ossietzky-Gymnasium","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","","422"
"Schule am Geestmoor","","","Rehden","Niedersachsen","Programm","","Be smart - don't Start","","2"
"Gerhart-Hauptmann-Gymnasium","","","Berlin","Berlin","Programm","","Be smart - don't Start","","1305"
"Charlotte-Paulsen-Gymnasium","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","","422"
"Mittelschule Tutzing","","","Tutzing","Bayern","Programm","","Be smart - don't Start","","4"
"Realschule Ravensburg","","","Ravensburg","Baden-Württemberg","Programm","","Be smart - don't Start","","1"
"Leibniz-Gymnasium","","","Berlin","Berlin","Programm","","Be smart - don't Start","","1305"
"Auguste-Pattberg-Gymnasium","","","Mosbach","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"St. Ursula-Mädchenrealschule","","","Freiburg im Breisgau","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Ernst-Reuter-Schule","","","Pattensen","Niedersachsen","Programm","","Be smart - don't Start","","6"
"Grundschule Demerthin","","","Gumtow/OT Demerthin","Brandenburg","Programm","","Be smart - don't Start","","1"
"Johann-Rist-Gymnasium","","","Wedel","Schleswig Holstein","Programm","","Be smart - don't Start","","8"
"Wilhelm-Staehle-Schule","","","Neuenhaus","Niedersachsen","Programm","","Be smart - don't Start","","4"
"Schiebell-Grundschule","","","Drebkau","Brandenburg","Programm","","Be smart - don't Start","","3"
"Gymnasium Hankensbüttel","","","Hankensbüttel","Niedersachsen","Programm","","Be smart - don't Start","","3"
"Staatl. Gymnasium Lappersdorf","","","Lappersdorf","Bayern","Programm","","Be smart - don't Start","","2"
"Realschule Mater Salvatoris","","","Kerpen","Nordrhein Westphalen","Programm","","Be smart - don't Start","","21"
"Realschule Süd Buxtehude","","","Buxtehude","Niedersachsen","Programm","","Be smart - don't Start","","14"
"Gesamtschule der Gemeinde Jüchen","","","Jüchen","Nordrhein Westphalen","Programm","","Be smart - don't Start","","6"
"Hölderlin-Realschule","","","Lauffen am Neckar","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Gymnasium Hochrad","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","","422"
"Förderschule Lernen","","","Elsterwerda","Brandenburg","Programm","","Be smart - don't Start","","6"
"Hermann-Merz-Schule","","","Ilshofen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Emil-von-Behring-Schule","","","Marburg","Hessen","Programm","","Be smart - don't Start","","0"
"Bergstadt-Gymnasium","","","Lüdenscheid","Nordrhein Westphalen","Programm","","Be smart - don't Start","","28"
"Pfarrer-Kneipp-Mittelschule","","","Bad Wörishofen","Bayern","Programm","","Be smart - don't Start","","3"
"125. Oberschule","","","Leipzig","Sachsen","Programm","","Be smart - don't Start","","304"
"Gymnasium am Romäusring","","","Villingen-Schwenningen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Geschwister-Scholl-Schule","","","Offenbach","Hessen","Programm","","Be smart - don't Start","","2"
"Leo-Sternberg-Schule","","","Limburg","Hessen","Programm","","Be smart - don't Start","","0"
"Max-Windmüller-Gymnasium","","","Emden","Niedersachsen","Programm","","Be smart - don't Start","","19"
"Hauptschule Wolbeck","","","Münster","Nordrhein Westphalen","Programm","","Be smart - don't Start","","122"
"Schule Sankt Hildegard","","","Berlin","Berlin","Programm","","Be smart - don't Start","","1305"
"Johanna-Geissmar-Gymnasium","","","Mannheim","Baden-Württemberg","Programm","","Be smart - don't Start","","1"
"Goethe-Schule","","","Flensburg","Schleswig Holstein","Programm","","Be smart - don't Start","","32"
"Otfried-Preußler-Schule","","","Großbeeren","Brandenburg","Programm","","Be smart - don't Start","","6"
"Albert-Schweitzer-Schule","","","Limburg","Hessen","Programm","","Be smart - don't Start","","0"
"Ritter-von-Traitteur-Mittelschule","","","Forchheim","Bayern","Programm","","Be smart - don't Start","","13"
"Dr.-Ernst-Schmidt-Realschule","","","Ebern","Bayern","Programm","","Be smart - don't Start","","4"
"Gesamtschule Osterfeld","","","Oberhausen","Nordrhein Westphalen","Programm","","Be smart - don't Start","","55"
"Goethe-Gymnasium","","","Regensburg","Bayern","Programm","","Be smart - don't Start","","63"
"Konrad Adenauer-Schule","","","Treis-Karden","Rheinland Pfalz","Programm","","Be smart - don't Start","","0"
"Fürstabt-Gerbert-Schule","","","St. Blasien","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Leonhard-Sachs-Schule","","","Crailsheim","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Gymnasium Alleestraße","","","Siegburg","Nordrhein Westphalen","Programm","","Be smart - don't Start","","21"
"Ludwig-Dürr-Schule","","","Friedrichshafen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Grund- und Gemeinschaftsschule","","","Berkenthin","Schleswig Holstein","Programm","","Be smart - don't Start","","1"
"Gemeinschaftsschule ""G. W. Leibniz""","","","Magdeburg","Sachsen Anhalt","Programm","","Be smart - don't Start","","87"
"Oberschule Regis-Breitingen","","","Regis-Breitingen","Sachsen","Programm","","Be smart - don't Start","","3"
"Max-Planck-Gymnasium","","","Nürtingen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Städtische Gesamtschule","","","Ahaus","Nordrhein Westphalen","Programm","","Be smart - don't Start","","19"
"B.-Traven-Oberschule","","","Berlin","Berlin","Programm","","Be smart - don't Start","","1305"
"Pestalozzischule","","","Limbach-Oberfrohna","Sachsen","Programm","","Be smart - don't Start","","11"
"Richard-von-Weizsäcker-Gesamtschule","","","Rietberg","Nordrhein Westphalen","Programm","","Be smart - don't Start","","11"
"Sägefeldschule","","","Ulm","Baden-Württemberg","Programm","","Be smart - don't Start","","40"
"Ferdinand-Tönnies-Schule","","","Husum","Schleswig Holstein","Programm","","Be smart - don't Start","","12"
"Gesamtschule Ennigerloh-Beckum","","","Ennigerloh","Nordrhein Westphalen","Programm","","Be smart - don't Start","","6"
"Gymnasium Buxtehude Süd","","","Buxtehude","Niedersachsen","Programm","","Be smart - don't Start","","14"
"Luckenberger Schule","","","Brandenburg an der Havel","Brandenburg","Programm","","Be smart - don't Start","","26"
"Gem. Hauptschule","","","Sankt Augustin","Nordrhein Westphalen","Programm","","Be smart - don't Start","","19"
"Dietrich-Bonhoeffer-Gymnasium","","","Quickborn","Schleswig Holstein","Programm","","Be smart - don't Start","","8"
"Integrierte Gesamtschule Rotenburg","","","Rotenburg (Wümme)","Niedersachsen","Programm","","Be smart - don't Start","","0"
"Christian-Wilhelm-Schneider-Schule","","","Esens","Niedersachsen","Programm","","Be smart - don't Start","","9"
"Christophorus-Gymnasium","","","Altensteig","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Städtische Gesamtschule Menden","","","Menden (Sauerland)","Nordrhein Westphalen","Programm","","Be smart - don't Start","","16"
"Geschwister-Scholl-Oberschule","","","Vechta","Niedersachsen","Programm","","Be smart - don't Start","","20"
"Städtisches Gymnasium","","","Bad Segeberg","Schleswig Holstein","Programm","","Be smart - don't Start","","9"
"Oberschule ""Maxim Gorki""","","","Frohburg","Sachsen","Programm","","Be smart - don't Start","","4"
"Anne-Frank-Realschule","","","Gladbeck","Nordrhein Westphalen","Programm","","Be smart - don't Start","","21"
"Freiherr-vom-Stein-Realschule","","","Nentershausen","Rheinland Pfalz","Programm","","Be smart - don't Start","","0"
"Homburgisches Gymnasium","","","Nümbrecht","Nordrhein Westphalen","Programm","","Be smart - don't Start","","9"
"Oberschule ""Theodor Fontane""","","","Ketzin/Havel","Brandenburg","Programm","","Be smart - don't Start","","1"
